county,election_id,election_year,ahcb_county,Conrad E. Elmendorf,John Hathorn,Peter Gansevoort,William Thompson
Orange,ny.uscongress5.1794,1794,ORANGE,40.0,862.0,0.0,37.0
Ulster,ny.uscongress5.1794,1794,ULSTER,543.0,657.0,2.0,4.0
