county,election_id,election_year,ahcb_county,Hubbard Smith,William S. Smith
Herkimer,ny.uscongress17.1812,1812,HERKIMER,981.0,1073.0
Madison,ny.uscongress17.1812,1812,MADISON,991.0,1532.0
