county,election_id,election_year,ahcb_county,Abijah Beckwith,George Rosekrantz,Henry Hopkins,Isaac Bumpus,James B. Eldridge,Jonathan Olmsted,Moses Maynard,Nathaniel Collins,Nehemiah Bacheller,Nehemiah Huntington,Rowland Sears,Rudolph Devendorf,Simeon Ford,Thomas H. Hubbard,William D. Ford
Herkimer,ny.uscongress17.1816,1816,HERKIMER,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1389.0,1529.0,1.0
Madison,ny.uscongress17.1816,1816,MADISON,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1549.0,1599.0,0.0
