county,election_id,election_year,ahcb_county,David Woods,Philo M. Hackley,Rutherford Barker,Thomas H. Hubbard
Herkimer,ny.uscongress17.1821,1821,HERKIMER,1543.0,1.0,0.0,1314.0
Madison,ny.uscongress17.1821,1821,MADISON,1560.0,0.0,2.0,1921.0
