county,election_id,election_year,ahcb_county,Philip Van Cortlandt,Richard Morris
Richmond,ny.uscongress3.1794,1794,RICHMOND,31.0,253.0
Westchester,ny.uscongress3.1794,1794,WESTCHESTER,960.0,719.0
