county,election_id,election_year,ahcb_county,Egbert Benson,Theodorus Bailey
Dutchess,ny.uscongress3.1790,1790,DUTCHESS,471.0,447.0
Westchester,ny.uscongress3.1790,1790,WESTCHESTER,252.0,21.0
