county,election_id,election_year,ahcb_county,Frey,George H. Tiffany,Isaac H. Tiffany,Jacob H. Tiffany,Jacob Snell,John Seeber,Peter Swart,William Beekman
Montgomery,ny.uscongress13.1806,1806,MONTGOMERY,1.0,1.0,584.0,1.0,4.0,1.0,2069.0,1.0
Schoharie,ny.uscongress13.1806,1806,SCHOHARIE,0.0,0.0,660.0,0.0,0.0,0.0,756.0,0.0
