county,election_id,election_year,ahcb_county,"Edward Smith, Jr.",Henry A. Livingston,Henry B. Lee,James J. Van Alen,"James Tallmadge, Jr.",Rowland Baily
Dutchess,ny.uscongress4.1816,1816,DUTCHESS,0.0,1943.0,1706.0,6.0,1.0,0.0
Putnam,ny.uscongress4.1816,1816,PUTNAM,1.0,328.0,824.0,0.0,0.0,2.0
