county,election_id,election_year,ahcb_county,Caleb Benton,Christian France,Conrad E. Elmendorf,Johannes Hornbeck,John Cantine,Lucas E. Elmendorf,Solomon Sutherland
Greene,ny.uscongress7.1802,1802,GREENE,2.0,0.0,507.0,0.0,527.0,2.0,0.0
Ulster,ny.uscongress7.1802,1802,ULSTER,0.0,1.0,772.0,1.0,693.0,0.0,1.0
