county,election_id,election_year,ahcb_county,John Laurence,Melancton Smith
New York,ny.uscongress2.1790,1790,NEW YORK,587.0,11.0
Westchester,ny.uscongress2.1790,1790,WESTCHESTER,104.0,0.0
