county,election_id,election_year,ahcb_county,James Gordon,John M. Thompson,John Williams
Saratoga,ny.uscongress9.1793,1793,SARATOGA,639.0,355.0,41.0
Washington,ny.uscongress9.1793,1793,WASHINGTON,639.0,0.0,1106.0
