county,election_id,election_year,ahcb_county,Adam Hichman,Calvin Pike,Calvin Rich,Frederick Storbeck,James Cushney,John Knowland,Jonathan Joice,Morgan Lewis,Stephen Thorn,Thomas Sammons,Thomas Symmans,William Thrall
Montgomery,ny.uscongress13.1804,1804,MONTGOMERY,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,2284.0,1.0,0.0
Schoharie,ny.uscongress13.1804,1804,SCHOHARIE,1.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1006.0,0.0,1.0
