county,election_id,election_year,ahcb_county,Douw I. Fonda,Ebenezer Russell,James Gordon,John Williams
Saratoga,ny.uscongress9.1796,1796,SARATOGA,209.0,0.0,479.0,234.0
Washington,ny.uscongress9.1796,1796,WASHINGTON,0.0,17.0,96.0,1084.0
