county,election_id,election_year,ahcb_county,John B. Yates,Lawrence Vrooman
Schenectady,ny.uscongress13.1814,1814,SCHENECTADY,782.0,638.0
Schoharie,ny.uscongress13.1814,1814,SCHOHARIE,1362.0,928.0
