county,election_id,election_year,ahcb_county,Charles A. Foote,Henry Dumond,Isaac Burr,John T. Moore,Stephen Lockwood
Delaware,ny.uscongress11.1822,1822,DELAWARE,1559.0,0.0,1.0,1362.0,1.0
Greene,ny.uscongress11.1822,1822,GREENE,1625.0,2.0,0.0,1336.0,0.0
