county,election_id,election_year,ahcb_county,David Sammons,Henry F. Yates,John Herkimer,John MacCarthy,Richard Dodge,Samuel Harper,Thomas Sammons
Montgomery,ny.uscongress9.1808,1808,MONTGOMERY,1.0,1.0,1512.0,3.0,1.0,1.0,2643.0
Schoharie,ny.uscongress9.1808,1808,SCHOHARIE,0.0,0.0,604.0,0.0,0.0,0.0,999.0
