county,election_id,election_year,ahcb_county,Abijah Whitney,Abraham Wright,"Amos Lane, Jr.",James Morris,James Onderdonk,Joel Frost,John Hyatt,John Schenck,"Joseph Owens, Jr.",Peter De Noyelles,Peter Talman,Philip Van Cortlandt,Richard Hatfield,Samuel Jones
Rockland,ny.uscongress4.1802,1802,ROCKLAND,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,46.0,240.0,0.0,0.0
Westchester,ny.uscongress4.1802,1802,WESTCHESTER,1.0,1.0,3.0,29.0,0.0,1.0,1.0,1.0,1.0,0.0,210.0,1055.0,4.0,7.0
