county,election_id,election_year,ahcb_county,Philip Van Cortlandt,Richard Hatfield
Richmond,ny.uscongress3.1793,1793,RICHMOND,123.0,100.0
Westchester,ny.uscongress3.1793,1793,WESTCHESTER,850.0,708.0
