county,election_id,election_year,ahcb_county,Elisha Jenkins,John Bird
Columbia,ny.uscongress6.1798,1798,COLUMBIA,1169.0,1389.0
Rensselaer,ny.uscongress6.1798,1798,RENSSELAER,765.0,1420.0
