nnv_county,ahcb_county,notes
Anderson,ANDERSON,
Bedford,BEDFORD,
Bledsoe,BLEDSOE,
Blount,BLOUNT,
Campbell,CAMPBELL,
Carroll,CARROLL,
Carter,CARTER,
Claiborne,CLAIBORNE,
Claibourne,CLAIBORNE,misspelling
Clairborne,CLAIBORNE,misspelling
Cocke,COCKE,
Davidson,DAVIDSON,
Dickson,DICKSON,
Dyer,DYER,
Fayette,FAYETTE,
Fentress,FENTRESS,
Franklin,FRANKLIN,
Gibson,GIBSON,
Giles,GILES,
Grainger,GRAINGER,
Greeme,GREENE,misspelling
Green,GREENE,misspelling
Greene,GREENE,
Hamilton,HAMILTON,
Hardeman,HARDEMAN,
Hardin,HARDIN,
Hawkins,HAWKINS,
Haywood,HAYWOOD,
Henderson,HENDERSON,
Henry,HENRY,
Hickman,HICKMAN,
Humphreys,HUMPHREYS,
Humphries,HUMPHREYS,misspelling
Jackson,JACKSON,
Jefferson,JEFFERSON,
Knox,KNOX,
Lawrence,LAWRENCE,
Lincoln,LINCOLN,
Madison,MADISON,
Marion,MARION,
Maury,MAURY,
McMinn,McMINN,letter case issue
McNairy,McNAIRY,letter case issue
Monroe,MONROE,
Montgomery,MONTGOMERY,
Morgan,MORGAN,
Obion,OBION,
Overton,OVERTON,
Perry,PERRY,
Rhea,RHEA,
Roane,ROANE,
Robertson,ROBERTSON,
Rutherford,RUTHERFORD,
Sevier,SEVIER,
Shelby,SHELBY,
Smith,SMITH,
Stewart,STEWART,
Sullivan,SULLIVAN,
Sumner,SUMNER,
Tipton,TIPTON,
Warren,WARREN,
Washington,WASHINGTON,
Wayne,WAYNE,
Weakley,WEAKLEY,
Weakly,WEAKLEY,misspelling
White,WHITE,
Williamson,WILLIAMSON,
Wilson,WILSON,
