nnv_county,ahcb_county,notes
Accomac,ACCOMACK,misspelling
Accomack,ACCOMACK,
AccomacK,ACCOMACK,letter case issue
Albemarle,ALBEMARLE,
Albermarle,ALBEMARLE,misspelling
Alleghany,ALLEGHANY,
Allegheny,ALLEGHANY,misspelling
Amelia,AMELIA,
Amherst,AMHERST,
Augusta,AUGUSTA,
Bath,BATH,
Bedford,BEDFORD,
Berkeley,BERKELEY,
Berkley,BERKELEY,misspelling
Botetourt,BOTETOURT,
Bourbon,BOURBON,
Brooke,BROOKE,
Brunswick,BRUNSWICK,
Buckingham,BUCKINGHAM,
Cabell,CABELL,
Campbell,CAMPBELL,
Caroline,CAROLINE,
Charles City,CHARLES CITY,
Charlotte,CHARLOTTE,
Chesterfield,CHESTERFIELD,
Culpeper,CULPEPER,
Culpepper,CULPEPER,misspelling
Cumberland,CUMBERLAND,
Dinwiddie,DINWIDDIE,
Elizabeth City,ELIZABETH CITY (ext),extinct county
Essex,ESSEX,
Fairfax,FAIRFAX,
Fauquier,FAUQUIER,
Fayette,FAYETTE,
Fluvanna,FLUVANNA,
Franklin,FRANKLIN,
Frederick,FREDERICK,
Giles,GILES,
Glocester,GLOUCESTER,misspelling
Gloucester,GLOUCESTER,
Goochland,GOOCHLAND,
Grayson,GRAYSON,
Greenbrier,GREENBRIER,
Greensville,GREENSVILLE,
Greenville,GREENSVILLE,misspelling
Halifax,HALIFAX,
Hampshire,HAMPSHIRE,
Hanover,HANOVER,
Hardy,HARDY,
Harrison,HARRISON,
Henrico,HENRICO,
Henry,HENRY,
Isle of Wight,ISLE OF WIGHT,letter case issue
James City,JAMES CITY,
Jefferson,JEFFERSON,
Kanawha,KANAWHA,
Kenawha,KANAWHA,misspelling
Kenhawa,KANAWHA,misspelling
King and Queen,KING AND QUEEN,letter case issue
King George,KING GEORGE,
King William,KING WILLIAM,
Lancaster,LANCASTER,
Lee,LEE,
Lewis,LEWIS,
Lincoln,LINCOLN,
Logan,LOGAN,
Loudoun,LOUDOUN,
Louisa,LOUISA,
Lunenberg,LUNENBURG,misspelling
Lunenburg,LUNENBURG,
Madison,MADISON,
Mason,MASON,
Mathews,MATHEWS,
Matthews,MATHEWS,misspelling
Mecklenberg,MECKLENBURG,misspelling
Mecklenburg,MECKLENBURG,
Mecklenburgh,MECKLENBURG,misspelling
Mercer,MERCER,
Middlesex,MIDDLESEX,
Monogalia,MONONGALIA,misspelling
Monongalia,MONONGALIA,
Monroe,MONROE,
Montgomery,MONTGOMERY,
Morgan,MORGAN,
Nanesmond,NANSEMOND (ext),extinct county
Nansemond,NANSEMOND (ext),extinct county
Nelson,NELSON,
New Kent,NEW KENT,
Nicholas,NICHOLAS,
Norfolk,NORFOLK (ext),extinct county
Norfolk Borough,NORFOLK (ext),extinct county
Norfolk County,NORFOLK (ext),extinct county
Northampton,NORTHAMPTON,
Northumberland,NORTHUMBERLAND,
Nottaway,NOTTOWAY,misspelling
Nottoway,NOTTOWAY,
Ohio,OHIO,
Orange,ORANGE,
Patrick,PATRICK,
Pendleton,PENDLETON,
Petersburg City,,data anomaly: not a county
Pittslyvania,PITTSYLVANIA,misspelling
Pittsylvania,PITTSYLVANIA,
Pocahontas,POCAHONTAS,
Powhatan,POWHATAN,
Preston,PRESTON,
Prince Edward,PRINCE EDWARD,
Prince George,PRINCE GEORGE,
Prince William,PRINCE WILLIAM,
Princess Ann,PRINCESS ANNE (ext),extinct county
Princess Anne,PRINCESS ANNE (ext),extinct county
Randolph,RANDOLPH,
Richmond,RICHMOND,
Richmond City,,data anomaly: not a county
Rockbridge,ROCKBRIDGE,
Rockingham,ROCKINGHAM,
Russell,RUSSELL,
Scott,SCOTT,
Shenandoah,SHENANDOAH,
Southampton,SOUTHAMPTON,
Spotslyvania,SPOTSYLVANIA,misspelling
Spotsylvania,SPOTSYLVANIA,
Spottsylvania,SPOTSYLVANIA,misspelling
Stafford,STAFFORD,
Surrey,SURRY,misspelling
Surry,SURRY,
Sussex,SUSSEX,
Tazewell,TAZEWELL,
Tyler,TYLER,
Warwick,WARWICK (ext),extinct county
Washington,WASHINGTON,
Westmoreland,WESTMORELAND,
Wood,WOOD,
Woodford,WOODFORD,
Wythe,WYTHE,
York,YORK,
