nnv_county,ahcb_county,notes
Appling,APPLING,
Baldwin,BALDWIN,
Bibb,BIBB,
Bryan,BRYAN,
Bulloch,BULLOCH,
Bullock,BULLOCH,misspelling
Burke,BURKE,
Camden,CAMDEN,
Chatham,CHATHAM,
Clark,CLARKE,misspelling
Clarke,CLARKE,
Columbia,COLUMBIA,
Crawford,CRAWFORD,
De Kalb,DEKALB,misspelling
Decatur,DECATUR,
Dooly,DOOLY,
Early,EARLY,
Effingham,EFFINGHAM,
Elbert,ELBERT,
Emanuel,EMANUEL,
Fayette,FAYETTE,
Franklin,FRANKLIN,
Glynn,GLYNN,
Greene,GREENE,
Gwinnett,GWINNETT,
Habersham,HABERSHAM,
Hall,HALL,
Hancock,HANCOCK,
Henry,HENRY,
Houston,HOUSTON,
Irwin,IRWIN,
Jackson,JACKSON,
Jasper,JASPER,
Jefferson,JEFFERSON,
Jones,JONES,
Laurens,LAURENS,
Liberty,LIBERTY,
Lincoln,LINCOLN,
Madison,MADISON,
McIntosh,McINTOSH,letter case error
Monroe,MONROE,
Montgomery,MONTGOMERY,
Morgan,MORGAN,
Newton,NEWTON,
Oglethorpe,OGLETHORPE,
Oglethrope,OGLETHORPE,misspelling
Pike,PIKE,
Pulaski,PULASKI,
Putnam,PUTNAM,
Rabun,RABUN,
Randolph,RANDOLPH,
Richmond,RICHMOND,
Screven,SCREVEN,
Scriven,SCREVEN,misspelling
Tattnall,TATTNALL,
Telfair,TELFAIR,
Twiggs,TWIGGS,
Walton,WALTON,
Warren,WARREN,
Washington,WASHINGTON,
Wayne,WAYNE,
Wilkes,WILKES,
Wilkinson,WILKINSON,
