nnv_county,ahcb_county,notes
Alexander,ALEXANDER,
Bond,BOND,
Clark,CLARK,
Crawford,CRAWFORD,
Edgar,EDGAR,
Edwards,EDWARDS,
Fayette,FAYETTE,
Franklin,FRANKLIN,
Fulton,FULTON,
Gallatin,GALLATIN,
Greene,GREENE,
Hamilton,HAMILTON,
Jackson,JACKSON,
Jefferson,JEFFERSON,
Johnson,JOHNSON,
Lawrence,LAWRENCE,
Madison,MADISON,
Marion,MARION,
Monroe,MONROE,
Montgomery,MONTGOMERY,
Morgan,MORGAN,
Saint Clair,ST. CLAIR,misspelling
Pike,PIKE,
Pope,POPE,
Randolph,RANDOLPH,
Sangamon,SANGAMON,
Union,UNION,
Washington,WASHINGTON,
Wayne,WAYNE,
White,WHITE,
