nnv_county,ahcb_county,notes
Adams,ADAMS,
Allegany,ALLEGHENY,misspelling
Alleghany,ALLEGHENY,misspelling
Allegheny,ALLEGHENY,
Armstrong,ARMSTRONG,
Arstrong,ARMSTRONG,misspelling
Assembly,NA,
Beaver,BEAVER,
Bedford,BEDFORD,
Berks,BERKS,
Bradford,BRADFORD,
Bucks,BUCKS,
Butler,BUTLER,
Cambria,CAMBRIA,
Centre,CENTRE,
Chester,CHESTER,
Clearfield,CLEARFIELD,
Columbia,COLUMBIA,
Crawford,CRAWFORD,
Cumberland,CUMBERLAND,
Dauphin,DAUPHIN,
Delaware,DELAWARE,
Eire,ERIE,misspelling
Erie,ERIE,
Fayette,FAYETTE,
Franklin,FRANKLIN,
Green,GREENE,misspelling
Greene,GREENE,
Huntindgon,HUNTINGDON,misspelling
Huntingdon,HUNTINGDON,
Huntington,HUNTINGDON,misspelling
Indiana,INDIANA,
Indiana and Jefferson,NA,
Jefferson,JEFFERSON,
Lancaster,LANCASTER,
Lebanon,LEBANON,
Lehigh,LEHIGH,
Luzerne,LUZERNE,
Lycoming,LYCOMING,
"Lycoming, Potter and McKean Counties",NA,
"Lycoming, Potter and McKeon Counties",NA,
M'Kean,McKEAN,misspelling
McKean,McKEAN,misspelling
McMean,McKEAN,misspelling
Mercer,MERCER,
Mifflin,MIFFLIN,
Montgomery,MONTGOMERY,
Montogomery,MONTGOMERY,misspelling
Northampton,NORTHAMPTON,
Northumberland,NORTHUMBERLAND,
Northumberland and Lycoming,NA,
Perry,PERRY,
Philadelphia,PHILADELPHIA,
Philadelphia Ctiy,NA,
Pike,PIKE,
Potter,POTTER,
Schulykill,SCHUYLKILL,misspelling
Schulylkill,SCHUYLKILL,misspelling
Schuykill,SCHUYLKILL,misspelling
Schuylkill,SCHUYLKILL,
Somerset,SOMERSET,
Susquehanna,SUSQUEHANNA,
Tiago,TIOGA,misspelling
Tioga,TIOGA,
Union,UNION,
Venago,VENANGO,misspelling
Venango,VENANGO,
Warren,WARREN,
Washington,WASHINGTON,
Wayne,WAYNE,
Westmoreland,WESTMORELAND,
Westmoreland and Indiana,NA,
York,YORK,
