nnv_county,ahcb_county,notes
Boone,BOONE,
Callaway,CALLAWAY,
Cape Girardeau,CAPE GIRARDEAU,
Chariton,CHARITON,
Clay,CLAY,
Cole,COLE,
Cooper,COOPER,
Franklin,FRANKLIN,
Gasconade,GASCONADE,
Howard,HOWARD,
Jefferson,JEFFERSON,
Lincoln,LINCOLN,
Madison,MADISON,
Montgomery,MONTGOMERY,
New Madrid,NEW MADRID,
Perry,PERRY,
Pike,PIKE,
Ralls,RALLS,
Ray,RAY,
Saline,SALINE,
Scott,SCOTT,
Washington,WASHINGTON,
Wayne,WAYNE,
Lillard,LILLARD (ext),extinct county
Saint Charles,ST. CHARLES,misspelling
Saint Francois,ST. FRANCOIS,misspelling
Saint Genevieve,STE. GENEVIEVE,misspelling
Saint Louis,ST. LOUIS,misspelling
