nnv_county,ahcb_county,notes
Autauga,AUTAUGA,
Baldwin,BALDWIN,
Bibb,BIBB,
Blount,BLOUNT,
Butler,BUTLER,
Cahawba,CAHAWBA,
Clarke,CLARKE,
Conecuh,CONECUH,
Cotaco,COTACO,
Covington,COVINGTON,
Dale,DALE,
Dallas,DALLAS,
Fayette,FAYETTE,
Franklin,FRANKLIN,
Greene,GREENE,
Henry,HENRY,
Jackson,JACKSON,
Jefferson,JEFFERSON,
Lauderdale,LAUDERDALE,
Lawrence,LAWRENCE,
Limestone,LIMESTONE,
Madison,MADISON,
Marengo,MARENGO,
Marion,MARION,
Mobile,MOBILE,
Monroe,MONROE,
Montgomery,MONTGOMERY,
Morgan,MORGAN,
Clark,CLARKE,misspelling
Decatur,DECATUR (ext),extinct county
Saint Clair,ST. CLAIR,misspelling
Saint Claire,ST. CLAIR,misspelling
Perry,PERRY,
Pickens,PICKENS,
Pike,PIKE,
Shelby,SHELBY,
Tuscaloosa,TUSCALOOSA,
Walker,WALKER,
Washington,WASHINGTON,
Wilcox,WILCOX,
