nnv_county,ahcb_county,notes
Allen,ALLEN,
Bartholomew,BARTHOLOMEW,
Clark,CLARK,
Clarke,CLARK,misspelling
Crawford,CRAWFORD,
Daviess,DAVIESS,
Dearborn,DEARBORN,
Decatur,DECATUR,
Dubois,DUBOIS,
Fayette,FAYETTE,
Floyd,FLOYD,
Franklin,FRANKLIN,
Gibson,GIBSON,
Green,GREENE,misspelling
Greene,GREENE,
Hamilton,HAMILTON,
Harrison,HARRISON,
Hendricks,HENDRICKS,
Henry,HENRY,
Jackson,JACKSON,
Jefferson,JEFFERSON,
Jennings,JENNINGS,
Johnson,JOHNSON,
Knox,KNOX,
Lawrence,LAWRENCE,
Madison,MADISON,
Marion,MARION,
Martin,MARTIN,
Monroe,MONROE,
Montgomery,MONTGOMERY,
Morgan,MORGAN,
Orange,ORANGE,
Owen,OWEN,
Parke,PARKE,
Perry,PERRY,
Pike,PIKE,
Posey,POSEY,
Putnam,PUTNAM,
Randolph,RANDOLPH,
Ripley,RIPLEY,
Rush,RUSH,
Scott,SCOTT,
Shelby,SHELBY,
Spencer,SPENCER,
Sullivan,SULLIVAN,
Switzerland,SWITZERLAND,
Union,UNION,
Vanderburg,VANDERBURGH,misspelling
Vanderburgh,VANDERBURGH,
Vermillion,VERMILLION,
Vigo,VIGO,
Warrick,WARRICK,
Washington,WASHINGTON,
Wayne,WAYNE,
