year,congress
1788,1
1789,1
1790,2
1791,2
1792,3
1793,3
1794,4
1795,4
1796,5
1797,5
1798,6
1799,6
1800,7
1801,7
1802,8
1803,8
1804,9
1805,9
1806,10
1807,10
1808,11
1809,11
1810,12
1811,12
1812,13
1813,13
1814,14
1815,14
1816,15
1817,15
1818,16
1819,16
1820,17
1821,17
1822,18
1823,18
1824,19
1825,19
