id,state,year,congress,district
me.uscongress6.1820,ME,1820,17,6
me.uscongress5.1820,ME,1820,17,5
me.uscongress4firstrunoff.1820,ME,1820,17,4
me.uscongress3.1820,ME,1820,17,3
me.uscongress7.1820,ME,1820,17,7
me.uscongress1.1820,ME,1820,17,1
me.uscongress2.1820,ME,1820,17,2
me.uscongress5.second.1821,ME,1821,17,5
me.uscongress4.secondrunoff.1821,ME,1821,17,4
me.uscongress4.thirdrunoff.1821,ME,1821,17,4
me.uscongress2.1822,ME,1822,17,2
me.uscongress3.second.1823,ME,1823,18,3
me.uscongress4.1823,ME,1823,18,4
me.uscongress1.1823,ME,1823,18,1
me.uscongress1.second.1823,ME,1823,18,1
me.uscongress6.1823,ME,1823,18,6
me.uscongress7.1823,ME,1823,18,7
me.uscongress5.1823,ME,1823,18,5
me.uscongress3.third.1823,ME,1823,18,3
me.uscongress1.third.1823,ME,1823,18,1
me.uscongress3.1823,ME,1823,18,3
me.uscongress1.fourth.1823,ME,1823,18,1
me.uscongress6.second.1823,ME,1823,18,6
me.uscongress2.1823,ME,1823,18,2
me.uscongress4.second.1823,ME,1823,18,4
me.uscongress6.third.1823,ME,1823,18,6
me.uscongress4.1824,ME,1824,19,4
me.uscongress2.1824,ME,1824,19,2
me.uscongress1.1824,ME,1824,19,1
me.uscongress7.1824,ME,1824,19,7
me.uscongress5.1824,ME,1824,19,5
me.uscongress3.1824,ME,1824,19,3
me.uscongress6.1824,ME,1824,19,6
me.uscongress3.fourth.1825,ME,1825,19,3
me.uscongress4.second.1825,ME,1825,19,4
me.uscongress3.second.1825,ME,1825,19,3
me.uscongress3.third.1825,ME,1825,19,3
me.uscongress5.second.1826,ME,1826,19,5
me.uscongress5.1826,ME,1826,19,5
