id,state,year,congress,district
nj.uscongress.1789,NJ,1789,1,0
nj.uscongress.1791,NJ,1791,2,0
nj.uscongress.1792,NJ,1792,3,0
nj.uscongress.1795,NJ,1795,4,0
nj.uscongress.special.1795,NJ,1795,4,0
nj.uscongress.1797,NJ,1797,5,0
nj.uscongress.middle.1798,NJ,1798,6,4
nj.uscongress.southern.1798,NJ,1798,6,5
nj.uscongress.eastern.1798,NJ,1798,6,1
nj.uscongress.northern.1798,NJ,1798,6,2
nj.uscongress.western.1798,NJ,1798,6,3
nj.congress.1800,NJ,1800,7,0
nj.uscongress.1803,NJ,1803,8,0
nj.uscongress.1804,NJ,1804,9,0
nj.uscongress.1806,NJ,1806,10,0
nj.specialelectioncongress.1808,NJ,1808,10,0
nj.uscongress.1808,NJ,1808,11,0
nj.congress.special.1810,NJ,1810,11,0
nj.congress.1810,NJ,1810,12,0
nj.uscongress.1812,NJ,1812,13,
nj.uscongress2.1813,NJ,1813,13,2
nj.uscongress3.1813,NJ,1813,13,3
nj.uscongress1.1813,NJ,1813,13,1
nj.uscongress.1814,NJ,1814,14,0
nj.uscongress.special.1814,NJ,1814,13,3
nj.uscongress.1816,NJ,1816,15,0
nj.uscongress.1818,NJ,1818,16,0
nj.congress.special.1820,NJ,1820,16,0
nj.uscongress.1820,NJ,1820,17,0
nj.uscongress.special.1821,NJ,1821,17,0
nj.uscongress.1822,NJ,1822,18,0
nj.uscongress.1824,NJ,1824,19,0
