id,state,year,congress,district
va.special.uscongress.13.1800,VA,1800,7,13
va.congress.2.1823,VA,1823,18,2
va.congress.18.1823,VA,1823,18,18
va.congress.3.1823,VA,1823,18,3
va.congress.17.1823,VA,1823,18,17
va.congress.15.1823,VA,1823,18,15
va.congress.8.1823,VA,1823,18,8
va.congress.11.1823,VA,1823,18,11
va.congress.16.1823,VA,1823,18,16
va.congress.22.1823,VA,1823,18,22
va.congress.10.1823,VA,1823,18,10
va.congress.19.1823,VA,1823,18,19
va.congress.14.1823,VA,1823,18,14
va.congress.6.1823,VA,1823,18,6
va.congress.13.1823,VA,1823,18,13
va.congress.1.1823,VA,1823,18,1
va.congress.4.1823,VA,1823,18,4
va.congress.12.1823,VA,1823,18,12
va.congress.9.1823,VA,1823,18,9
va.congress.5.1823,VA,1823,18,5
va.congress.20.1823,VA,1823,18,20
va.congress.21.1823,VA,1823,18,21
va.congress.7.1823,VA,1823,18,7
va.uscongress.21.1817,VA,1817,15,21
va.uscongress.9.1817,VA,1817,15,9
va.uscongress.19.1817,VA,1817,15,19
va.uscongress.14.1817,VA,1817,15,14
va.uscongress.1.1817,VA,1817,15,1
va.uscongress.20.1817,VA,1817,15,20
va.uscongress.6.1817,VA,1817,15,6
va.uscongress.22.1817,VA,1817,15,22
va.uscongress.15.1817,VA,1817,15,15
va.uscongress.4.1817,VA,1817,15,4
va.uscongress.12.1817,VA,1817,15,12
va.uscongress.2.1817,VA,1817,15,2
va.uscongress.5.1817,VA,1817,15,5
va.uscongress.11.1817,VA,1817,15,11
va.uscongress.17.1817,VA,1817,15,17
va.uscongress.13.1817,VA,1817,15,13
va.uscongress.8.1817,VA,1817,15,8
va.uscongress.16.1817,VA,1817,15,16
va.uscongress.18.1817,VA,1817,15,18
va.uscongress.10.1817,VA,1817,15,10
va.uscongress.7.1817,VA,1817,15,7
va.uscongress.23.1817,VA,1817,15,23
va.uscongress.3.1817,VA,1817,15,3
va.uscongress.3.1795,VA,1795,4,3
va.uscongress.10.1795,VA,1795,4,10
va.uscongress.18.1795,VA,1795,4,18
va.uscongress.8.1795,VA,1795,4,8
va.uscongress.16.1795,VA,1795,4,16
va.uscongress.2.1795,VA,1795,4,2
va.uscongress.4.1795,VA,1795,4,4
va.uscongress.14.1795,VA,1795,4,14
va.uscongress.19.1795,VA,1795,4,19
va.uscongress.5.1795,VA,1795,4,5
va.uscongress.7.1795,VA,1795,4,7
va.uscongress.9.1795,VA,1795,4,9
va.uscongress.15.1795,VA,1795,4,15
va.uscongress.13.1795,VA,1795,4,13
va.uscongress.6.1795,VA,1795,4,6
va.uscongress.11.1795,VA,1795,4,11
va.uscongress.1.1795,VA,1795,4,1
va.uscongress.12.1795,VA,1795,4,12
va.uscongress.17.1795,VA,1795,4,17
va.uscongress.16.1813,VA,1813,13,16
va.uscongress.4.1813,VA,1813,13,4
va.uscongress.13.1813,VA,1813,13,13
va.uscongress.17.1813,VA,1813,13,17
va.uscongress.6.1813,VA,1813,13,6
va.uscongress.12.1813,VA,1813,13,12
va.uscongress.23.1813,VA,1813,13,23
va.uscongress.20.1813,VA,1813,13,20
va.uscongress.15.1813,VA,1813,13,15
va.uscongress.9.1813,VA,1813,13,9
va.uscongress.5.1813,VA,1813,13,5
va.uscongress.8.1813,VA,1813,13,8
va.uscongress.1.1813,VA,1813,13,1
va.uscongress.7.1813,VA,1813,13,7
va.uscongress.21.1813,VA,1813,13,21
va.uscongress.14.1813,VA,1813,13,14
va.uscongress.2.1813,VA,1813,13,2
va.uscongress.3.1813,VA,1813,13,3
va.uscongress.11.1813,VA,1813,13,11
va.uscongress.19.1813,VA,1813,13,19
va.uscongress.18.1813,VA,1813,13,18
va.uscongress.10.1813,VA,1813,13,10
va.uscongress.22.1813,VA,1813,13,22
va.uscongress.16.1807,VA,1807,10,16
va.uscongress.21.1807,VA,1807,10,21
va.uscongress.7.1807,VA,1807,10,7
va.uscongress.18.1807,VA,1807,10,18
va.uscongress.8.1807,VA,1807,10,8
va.uscongress.13.1807,VA,1807,10,13
va.uscongress.6.1807,VA,1807,10,6
va.uscongress.12.1807,VA,1807,10,12
va.uscongress.22.1807,VA,1807,10,22
va.uscongress.11.1807,VA,1807,10,11
