id,state,year,congress,district
oh.uscongress.1803,OH,1803,8,0
oh.uscongress.1804,OH,1804,9,0
oh.us.houseofrepresentatives.1806,OH,1806,10,0
oh.ushouseofrepresentatives.1808,OH,1808,11,0
oh.ushouseofrepresentatives.1810,OH,1810,12,0
oh.ushouseofrepresentatives.district4.1812,OH,1812,13,4
oh.ushouseofrepresentatives.district5.1812,OH,1812,13,5
oh.ushouseofrepresentatives.district2.1812,OH,1812,13,2
oh.ushouseofrepresentatives.district6.1812,OH,1812,13,6
oh.ushouseofrepresentatives.district1.1812,OH,1812,13,1
oh.ushouseofrepresentatives.district3.1812,OH,1812,13,3
oh.ushouseofrepresentatives.6.special.1813,OH,1813,13,6
oh.ushouseofrepresentatives.3.special.1813,OH,1813,13,3
oh.uscongress6.special.1814,OH,1814,14,6
oh.uscongress3.1814,OH,1814,14,3
oh.uscongress5.1814,OH,1814,14,5
oh.uscongress6.1814,OH,1814,14,6
oh.uscongress1.1814,OH,1814,14,1
oh.uscongress4.1814,OH,1814,14,4
oh.uscongress2.1814,OH,1814,14,2
oh.uscongress4.1816,OH,1816,15,4
oh.uscongress3.1816,OH,1816,15,3
oh.uscongress1.vacancy.1816,OH,1816,15,1
oh.uscongress1.1816,OH,1816,15,1
oh.uscongress6.1816,OH,1816,15,6
oh.uscongress2.1816,OH,1816,15,2
oh.uscongress5.1816,OH,1816,15,5
oh.uscongress6.1818,OH,1818,16,6
oh.uscongress1.1818,OH,1818,16,1
oh.uscongress2.1818,OH,1818,16,2
oh.uscongress4.1818,OH,1818,16,4
oh.uscongress5.1818,OH,1818,16,5
oh.uscongress3.1818,OH,1818,16,3
oh.uscongress6.1820,OH,1820,17,6
oh.uscongress3.1820,OH,1820,17,3
oh.uscongress1.1820,OH,1820,17,1
oh.uscongress5.1820,OH,1820,17,5
oh.uscongress4.1820,OH,1820,17,4
oh.uscongress2.1820,OH,1820,17,2
oh.uscongress4.1821,OH,1821,17,4
oh.uscongress2.1822,OH,1822,18,2
oh.uscongress14.1822,OH,1822,18,14
oh.uscongress6.1822,OH,1822,18,6
oh.uscongress5.1822,OH,1822,18,5
oh.uscongress10.1822,OH,1822,18,10
oh.uscongress13.1822,OH,1822,18,13
oh.uscongress12.1822,OH,1822,18,12
oh.uscongress8.1822,OH,1822,18,8
oh.uscongress3.1822,OH,1822,18,3
oh.uscongress4.1822,OH,1822,18,4
oh.uscongress9.1822,OH,1822,18,9
oh.uscongress1.1822,OH,1822,18,1
oh.uscongress11.1822,OH,1822,18,11
oh.uscongress7.1822,OH,1822,18,7
oh.uscongress13.1824,OH,1824,19,13
oh.uscongress12.1824,OH,1824,19,12
oh.uscongress4.1824,OH,1824,19,4
oh.uscongress14.1824,OH,1824,19,14
oh.uscongress5.1824,OH,1824,19,5
oh.uscongress8.1824,OH,1824,19,8
oh.uscongress10.1824,OH,1824,19,10
oh.uscongress6.1824,OH,1824,19,6
oh.uscongress3.1824,OH,1824,19,3
oh.uscongress7.1824,OH,1824,19,7
oh.uscongress1.1824,OH,1824,19,1
oh.uscongress9.1824,OH,1824,19,9
oh.uscongress2.1824,OH,1824,19,2
oh.uscongress11.1824,OH,1824,19,11
